date,country,municipality,confirmed,deaths,recovered,active,pcr,lat,long,population,km_sq,population_mne,km_sq_mne
2020-03-17,Montenegro,Podgorica,1,0,NA,NA,NA,42.441286,19.262892,185937,1399,631219,13812
2020-03-17,Montenegro,Ulcinj,1,0,NA,NA,NA,41.92936,19.22436,19921,255,631219,13812
2020-03-18,Montenegro,NA,7,0,NA,NA,20,NA,NA,NA,NA,NA,NA
2020-03-19,Montenegro,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,Montenegro,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,Montenegro,Herceg Novi,1,0,NA,NA,NA,42.45295,18.531203,30864,235,631219,13812
2020-03-21,Montenegro,NA,16,0,NA,NA,31,NA,NA,NA,NA,NA,NA
2020-03-22,Montenegro,NA,22,1,NA,NA,18,NA,NA,NA,NA,NA,NA
2020-03-23,Montenegro,NA,27,1,NA,NA,19,NA,NA,NA,NA,NA,NA
2020-03-24,Montenegro,Tuzi,15,0,NA,NA,NA,42.365556,19.331389,12096,236,631219,13812
2020-03-24,Montenegro,NA,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,Montenegro,NA,51,1,NA,NA,38,NA,NA,NA,NA,NA,NA
2020-03-26,Montenegro,NA,67,1,NA,NA,122,NA,NA,NA,NA,NA,NA
2020-03-27,Montenegro,Tuzi,31,0,NA,NA,120,42.365556,19.331389,12096,236,631219,13812
2020-03-27,Montenegro,Podgorica,27,0,NA,NA,120,42.441286,19.262892,185937,1399,631219,13812
2020-03-27,Montenegro,Bar,6,0,NA,NA,120,42.099998,19.1,42048,598,631219,13812
2020-03-27,Montenegro,Andrijevica,6,0,NA,NA,120,42.73389,19.79194,5071,283,631219,13812
2020-03-27,Montenegro,Herceg Novi,4,1,NA,NA,120,42.45295,18.531203,30864,235,631219,13812
2020-03-27,Montenegro,Budva,4,0,NA,NA,120,42.28639,18.84,19218,122,631219,13812
2020-03-27,Montenegro,Ulcinj,3,0,NA,NA,120,41.92936,19.22436,19921,255,631219,13812
2020-03-27,Montenegro,Danilovgrad,1,0,NA,NA,120,42.55384,19.14608,18472,501,631219,13812
2020-03-28,Montenegro,Tuzi,31,0,NA,NA,46,42.365556,19.331389,12096,236,631219,13812
2020-03-28,Montenegro,Podgorica,28,0,NA,NA,46,42.441286,19.262892,185937,1399,631219,13812
2020-03-28,Montenegro,Bar,6,0,NA,NA,46,42.099998,19.1,42048,598,631219,13812
2020-03-28,Montenegro,Andrijevica,6,0,NA,NA,46,42.73389,19.79194,5071,283,631219,13812
2020-03-28,Montenegro,Herceg Novi,4,1,NA,NA,46,42.45295,18.531203,30864,235,631219,13812
2020-03-28,Montenegro,Budva,4,0,NA,NA,46,42.28639,18.84,19218,122,631219,13812
2020-03-28,Montenegro,Ulcinj,3,0,NA,NA,46,41.92936,19.22436,19921,255,631219,13812
2020-03-28,Montenegro,Danilovgrad,1,0,NA,NA,46,42.55384,19.14608,18472,501,631219,13812
2020-03-28,Montenegro,Tivat,1,0,NA,NA,46,42.43639,18.69611,14031,46,631219,13812
2020-03-29,Montenegro,Tuzi,32,0,NA,NA,46,42.365556,19.331389,12096,236,631219,13812
2020-03-29,Montenegro,Podgorica,28,0,NA,NA,46,42.441286,19.262892,185937,1399,631219,13812
2020-03-29,Montenegro,Bar,6,0,NA,NA,46,42.099998,19.1,42048,598,631219,13812
2020-03-29,Montenegro,Andrijevica,6,0,NA,NA,46,42.73389,19.79194,5071,283,631219,13812
2020-03-29,Montenegro,Herceg Novi,4,1,NA,NA,46,42.45295,18.531203,30864,235,631219,13812
2020-03-29,Montenegro,Budva,4,0,NA,NA,46,42.28639,18.84,19218,122,631219,13812
2020-03-29,Montenegro,Ulcinj,3,0,NA,NA,46,41.92936,19.22436,19921,255,631219,13812
